# Signatures of the rmw implementation contract — ROS 2 Humble.
# name<TAB>return<TAB>params<TAB>header. Parameter NAMES ARE KEPT;
# the COMPARISON drops them (`rmw_abi_shape.strip_param_names`),
# because a renamed argument is not an ABI difference and reporting
# one trains people to skim — while a page that shows our named
# slots beside upstream's bare types reads as though upstream
# declared them nameless. Regenerate in the distrobox:
#   scripts/rmw-api-inventory.py --signatures \
#     > docs/reference/rmw-implementation-signatures.txt
# format: 2 (parameter names kept; strip them to compare)
rmw_allocate	void *	size_t size	allocators.h
rmw_topic_endpoint_info_set_endpoint_type	rmw_ret_t	rmw_topic_endpoint_info_t * topic_endpoint_info, rmw_endpoint_type_t type	topic_endpoint_info.h
rmw_topic_endpoint_info_set_gid	rmw_ret_t	rmw_topic_endpoint_info_t * topic_endpoint_info, const uint8_t * gid, size_t size	topic_endpoint_info.h
rmw_topic_endpoint_info_set_node_name	rmw_ret_t	rmw_topic_endpoint_info_t * topic_endpoint_info, const char * node_name, rcutils_allocator_t * allocator	topic_endpoint_info.h
rmw_topic_endpoint_info_set_node_namespace	rmw_ret_t	rmw_topic_endpoint_info_t * topic_endpoint_info, const char * node_namespace, rcutils_allocator_t * allocator	topic_endpoint_info.h
rmw_topic_endpoint_info_set_qos_profile	rmw_ret_t	rmw_topic_endpoint_info_t * topic_endpoint_info, const rmw_qos_profile_t * qos_profile	topic_endpoint_info.h
rmw_topic_endpoint_info_set_topic_type	rmw_ret_t	rmw_topic_endpoint_info_t * topic_endpoint_info, const char * topic_type, rcutils_allocator_t * allocator	topic_endpoint_info.h
rmw_trigger_guard_condition	rmw_ret_t	const rmw_guard_condition_t * guard_condition	rmw.h
rmw_validate_full_topic_name	rmw_ret_t	const char * topic_name, int * validation_result, size_t * invalid_index	validate_full_topic_name.h
rmw_validate_full_topic_name_with_size	rmw_ret_t	const char * topic_name, size_t topic_name_length, int * validation_result, size_t * invalid_index	validate_full_topic_name.h
rmw_validate_namespace	rmw_ret_t	const char * namespace_, int * validation_result, size_t * invalid_index	validate_namespace.h
rmw_validate_namespace_with_size	rmw_ret_t	const char * namespace_, size_t namespace_length, int * validation_result, size_t * invalid_index	validate_namespace.h
rmw_validate_node_name	rmw_ret_t	const char * node_name, int * validation_result, size_t * invalid_index	validate_node_name.h
rmw_validate_node_name_with_size	rmw_ret_t	const char * node_name, size_t node_name_length, int * validation_result, size_t * invalid_index	validate_node_name.h
rmw_wait	rmw_ret_t	rmw_subscriptions_t * subscriptions, rmw_guard_conditions_t * guard_conditions, rmw_services_t * services, rmw_clients_t * clients, rmw_events_t * events, rmw_wait_set_t * wait_set, const rmw_time_t * wait_timeout	rmw.h
rmw_wait_set_allocate	rmw_wait_set_t *		allocators.h
rmw_wait_set_free	void	rmw_wait_set_t * wait_set	allocators.h
